*1000Hz	-41.0
	
20.00	-2.7
20.55	-2.7
21.11	-2.6
21.69	-2.5
22.29	-2.5
22.90	-2.4
23.53	-2.3
24.18	-2.1
24.84	-1.9
25.52	-1.8
26.22	-1.6
26.94	-1.4
27.68	-1.2
28.44	-1.0
29.22	-0.8
30.03	-0.6
30.85	-0.5
31.70	-0.3
32.57	-0.2
33.46	-0.1
34.38	0.0
35.33	0.0
36.30	0.1
37.29	0.2
38.32	0.2
39.37	0.3
40.45	0.3
41.56	0.4
42.70	0.4
43.87	0.5
45.08	0.5
46.32	0.6
47.59	0.7
48.90	0.7
50.24	0.8
51.62	0.8
53.03	0.8
54.49	0.8
55.99	0.8
57.52	0.8
59.10	0.8
60.73	0.8
62.39	0.8
64.11	0.8
65.87	0.8
67.68	0.8
69.54	0.8
71.44	0.8
73.41	0.8
75.42	0.9
77.49	0.9
79.62	1.0
81.81	1.1
84.05	1.2
86.36	1.2
88.73	1.3
91.17	1.3
93.67	1.4
96.25	1.4
98.89	1.4
101.60	1.4
104.39	1.3
107.26	1.3
110.21	1.3
113.23	1.3
116.34	1.3
119.54	1.3
122.82	1.2
126.19	1.2
129.66	1.2
133.22	1.2
136.87	1.2
140.63	1.2
144.50	1.2
148.46	1.3
152.54	1.3
156.73	1.3
161.03	1.3
165.45	1.3
170.00	1.3
174.67	1.3
179.46	1.3
184.39	1.3
189.45	1.3
194.65	1.2
200.00	1.2
205.49	1.1
211.13	1.0
216.93	1.0
222.89	0.9
229.01	0.9
235.30	0.9
241.76	0.9
248.40	1.0
255.22	1.2
262.23	1.3
269.43	1.5
276.83	1.6
284.43	1.7
292.24	1.8
300.26	1.7
308.51	1.6
316.98	1.5
325.68	1.3
334.63	1.1
343.81	1.0
353.26	0.9
362.96	0.8
372.92	0.7
383.16	0.6
393.68	0.5
404.49	0.4
415.60	0.4
427.01	0.3
438.74	0.3
450.79	0.3
463.17	0.4
475.88	0.4
488.95	0.4
502.38	0.4
516.17	0.3
530.35	0.3
544.91	0.4
559.87	0.4
575.25	0.5
591.04	0.5
607.27	0.5
623.95	0.5
641.08	0.5
658.68	0.5
676.77	0.5
695.35	0.5
714.45	0.5
734.07	0.6
754.22	0.7
774.94	0.7
796.21	0.8
818.08	0.8
840.54	0.8
863.62	0.8
887.34	0.7
911.70	0.5
936.74	0.4
962.46	0.3
988.89	0.1
1016.04	0.0
1043.94	0.0
1072.61	0.0
1102.06	0.0
1132.33	0.1
1163.42	0.1
1195.37	0.1
1228.19	0.1
1261.91	0.1
1296.57	0.1
1332.17	0.1
1368.75	0.1
1406.34	0.0
1444.95	-0.1
1484.63	-0.2
1525.40	-0.3
1567.28	-0.4
1610.32	-0.4
1654.54	-0.4
1699.97	-0.4
1746.65	-0.3
1794.61	-0.2
1843.89	-0.1
1894.53	0.0
1946.55	0.0
2000.00	0.1
2054.92	0.2
2111.35	0.2
2169.32	0.3
2228.89	0.4
2290.10	0.5
2352.98	0.5
2417.59	0.6
2483.98	0.7
2552.19	0.8
2622.27	0.9
2694.27	1.1
2768.26	1.2
2844.27	1.3
2922.37	1.5
3002.62	1.6
3085.07	1.7
3169.79	1.6
3256.83	1.4
3346.26	1.3
3438.14	1.3
3532.55	1.6
3629.56	2.0
3729.22	2.5
3831.62	2.9
3936.84	3.0
4044.94	2.8
4156.01	2.2
4270.14	1.3
4387.39	0.6
4507.87	0.2
4631.65	0.2
4758.83	0.5
4889.51	0.7
5023.77	0.5
5161.72	0.3
5303.46	0.0
5449.09	-0.1
5598.72	-0.2
5752.46	-0.2
5910.42	-0.1
6072.72	0.2
6239.47	0.7
6410.80	1.3
6586.84	1.6
6767.71	1.6
6953.55	1.4
7144.49	1.4
7340.67	1.7
7542.24	2.3
7749.35	2.6
7962.14	2.4
8180.78	2.4
8405.42	2.9
8636.23	3.7
8873.37	3.7
9117.03	3.3
9367.38	2.7
9624.61	2.3
9888.89	2.3
10160.44	2.7
10439.44	2.9
10726.10	3.2
11020.63	3.8
11323.25	4.0
11634.18	3.5
11953.65	3.2
12281.89	3.6
12619.15	3.7
12965.66	3.4
13321.69	3.6
13687.50	4.0
14063.35	4.0
14449.52	4.1
14846.30	4.5
15253.97	4.0
15672.84	4.0
16103.21	4.3
16545.39	4.0
16999.72	3.7
17466.52	3.5
17946.14	3.1
18438.94	3.5
18945.26	3.8
19465.49	4.2
20000.00	4.7
